state,areaName,countyName,medianProperty,costOfLiving,medianHHIncome,rent1Bed,rent4bed,costOfGroceries,population,hu2010,geoID,fips2010,fipsTxt
AL,"Crenshaw County, AL",Crenshaw County,77600,90.3,37374,459,971,97.4,13906,6735,05000US01041,104199999,01041
AL,"Cullman County, AL",Cullman County,118700,90.3,41543,544,918,97.4,80406,37054,05000US01043,104399999,01043
AL,"Dale County, AL",Dale County,103800,90.3,40523,516,1148,97.4,50251,22677,05000US01045,104599999,01045
AL,"Dallas County, AL",Dallas County,81000,90.3,30488,517,933,97.4,43820,20208,05000US01047,104799999,01047
AL,"DeKalb County, AL",DeKalb County,99600,90.3,37128,456,825,97.4,71109,31109,05000US01049,104999999,01049
AL,"Elmore County, AL",Elmore County,152500,90.3,54553,742,1558,97.4,79303,32657,05000US01051,105199999,01051
AL,"Escambia County, AL",Escambia County,93900,90.3,35096,542,849,97.4,38319,16486,05000US01053,105399999,01053
AL,"Etowah County, AL",Etowah County,101900,90.3,40972,533,1042,97.4,104430,47454,05000US01055,105599999,01055
AL,"Fayette County, AL",Fayette County,76400,90.3,38403,528,857,97.4,17241,8437,05000US01057,105799999,01057
AL,"Franklin County, AL",Franklin County,87000,90.3,37049,526,869,97.4,31704,14022,05000US01059,105999999,01059
AL,"Geneva County, AL",Geneva County,81500,90.3,36976,576,1173,97.4,26790,12687,05000US01061,106199999,01061
AL,"Greene County, AL",Greene County,68100,90.3,26559,483,857,97.4,9045,5007,05000US01063,106399999,01063
AL,"Hale County, AL",Hale County,89400,90.3,35381,704,1170,97.4,15760,7655,05000US01065,106599999,01065
AL,"Henry County, AL",Henry County,101800,90.3,41426,586,1185,97.4,17302,8891,05000US01067,106799999,01067
AL,"Houston County, AL",Houston County,124800,90.3,42910,576,1173,97.4,101547,45319,05000US01069,106999999,01069
AL,"Jackson County, AL",Jackson County,103800,90.3,41407,542,892,97.4,53227,24786,05000US01071,107199999,01071
AL,"Jefferson County, AL",Jefferson County,145700,90.3,50109,832,1424,97.4,658466,300552,05000US01073,107399999,01073
AL,"Lamar County, AL",Lamar County,71100,90.3,38358,523,857,97.4,14564,7354,05000US01075,107599999,01075
AL,"Lauderdale County, AL",Lauderdale County,124100,90.3,44124,564,1183,97.4,92709,43791,05000US01077,107799999,01077
AL,"Lawrence County, AL",Lawrence County,97600,90.3,43107,549,974,97.4,34339,15229,05000US01079,107999999,01079
AL,"Lee County, AL",Lee County,156400,90.3,47749,680,1439,97.4,140247,62391,05000US01081,108199999,01081
AL,"Limestone County, AL",Limestone County,142500,90.3,52181,646,1353,97.4,82782,34977,05000US01083,108399999,01083
AL,"Lowndes County, AL",Lowndes County,68900,90.3,32011,742,1558,97.4,11299,5140,05000US01085,108599999,01085
AL,"Macon County, AL",Macon County,77000,90.3,30681,477,1059,97.4,21452,10259,05000US01087,108799999,01087
AL,"Madison County, AL",Madison County,171200,90.3,61193,646,1353,97.4,334811,146447,05000US01089,108999999,01089
AL,"Marengo County, AL",Marengo County,87900,90.3,34794,498,1067,97.4,21027,10237,05000US01091,109199999,01091
AL,"Marion County, AL",Marion County,85500,90.3,36386,456,953,97.4,30776,14737,05000US01093,109399999,01093
AL,"Marshall County, AL",Marshall County,115700,90.3,42117,495,892,97.4,93019,40342,05000US01095,109599999,01095
AL,"Mobile County, AL",Mobile County,123500,90.3,45233,733,1369,97.4,412992,178196,05000US01097,109799999,01097
AL,"Monroe County, AL",Monroe County,87700,90.3,36639,528,899,97.4,23068,11333,05000US01099,109999999,01099
AL,"Montgomery County, AL",Montgomery County,122000,90.3,45111,742,1558,97.4,229363,101641,05000US01101,110199999,01101
AL,"Morgan County, AL",Morgan County,124900,90.3,46843,549,974,97.4,119490,51193,05000US01103,110399999,01103
AL,"Perry County, AL",Perry County,73700,90.3,25221,528,857,97.4,10591,4737,05000US01105,110599999,01105
AL,"Pickens County, AL",Pickens County,89100,90.3,35968,456,825,97.4,19746,9483,05000US01107,110799999,01107
AL,"Pike County, AL",Pike County,102300,90.3,35172,558,911,97.4,32899,15267,05000US01109,110999999,01109
AL,"Randolph County, AL",Randolph County,85600,90.3,40283,539,1074,97.4,22913,11982,05000US01111,111199999,01111
AL,"Russell County, AL",Russell County,114000,90.3,38617,742,1569,97.4,52947,24595,05000US01113,111399999,01113
AL,"St. Clair County, AL",St. Clair County,142800,90.3,57856,832,1424,97.4,83593,35541,05000US01115,111599999,01115
AL,"Shelby County, AL",Shelby County,195400,90.3,74212,832,1424,97.4,195085,80970,05000US01117,111799999,01117
AL,"Sumter County, AL",Sumter County,73400,90.3,26814,562,1017,97.4,13763,6786,05000US01119,111999999,01119
AL,"Talladega County, AL",Talladega County,94200,90.3,40555,497,922,97.4,82291,37088,05000US01121,112199999,01121
AL,"Tallapoosa County, AL",Tallapoosa County,105200,90.3,40169,554,1026,97.4,41616,22111,05000US01123,112399999,01123
AL,"Tuscaloosa County, AL",Tuscaloosa County,160000,90.3,47483,704,1170,97.4,194656,84872,05000US01125,112599999,01125
AL,"Walker County, AL",Walker County,84800,90.3,39511,537,1041,97.4,67023,30816,05000US01127,112799999,01127
AL,"Washington County, AL",Washington County,81100,90.3,37575,547,970,97.4,17581,8407,05000US01129,112999999,01129
AL,"Wilcox County, AL",Wilcox County,81600,90.3,24216,528,857,97.4,11670,5649,05000US01131,113199999,01131
AL,"Winston County, AL",Winston County,77700,90.3,38644,456,1009,97.4,24484,13469,05000US01133,113399999,01133
AK,"Aleutians East Borough, AK",Aleutians East Borough,124500,131.3,63991,964,1508,135.7,3141,747,05000US02013,201399999,02013
AK,"Aleutians West Census Area, AK",Aleutians West Census Area,211400,131.3,78151,1338,2738,135.7,5561,1929,05000US02016,201699999,02016
AK,"Bethel Census Area, AK",Bethel Census Area,151400,131.3,46634,1419,2220,135.7,17013,5919,05000US02050,205099999,02050
AK,"Bristol Bay Borough, AK",Bristol Bay Borough,199000,131.3,68026,1002,1794,135.7,997,969,05000US02060,206099999,02060
AK,"Denali Borough, AK",Denali Borough,228600,131.3,72378,1178,2339,135.7,1826,1771,05000US02068,206899999,02068
AK,"Dillingham Census Area, AK",Dillingham Census Area,196400,131.3,52250,1181,2087,135.7,4847,2427,05000US02070,207099999,02070
AK,"Fairbanks North Star Borough, AK",Fairbanks North Star Borough,224000,131.3,73427,1089,2552,135.7,97581,41783,05000US02090,209099999,02090
AK,"Haines Borough, AK",Haines Borough,198400,131.3,53471,883,1560,135.7,2508,1631,05000US02100,210099999,02100
AK,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon Census Area,235100,131.3,53884,675,1186,135.7,2150,1771,05000US02105,210599999,02105
AK,"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,229200,131.3,68501,874,1689,135.7,55400,30578,05000US02122,212299999,02122
AK,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,257100,131.3,67125,1019,2387,135.7,13477,6166,05000US02130,213099999,02130
AK,"Kodiak Island Borough, AK",Kodiak Island Borough,266700,131.3,74683,1095,2004,135.7,13592,5303,05000US02150,215099999,02150
AK,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,143800,131.3,44310,809,1457,135.7,1631,1502,05000US02164,216499999,02164
AK,"Matanuska-Susitna Borough, AK",Matanuska-Susitna Borough,230100,131.3,71793,877,2055,135.7,88995,41329,05000US02170,217099999,02170
AK,"Nome Census Area, AK",Nome Census Area,138300,131.3,55974,1426,2300,135.7,9492,4008,05000US02180,218099999,02180
AK,"North Slope Borough, AK",North Slope Borough,154100,131.3,74998,1137,2258,135.7,9430,2500,05000US02185,218599999,02185
AK,"Northwest Arctic Borough, AK",Northwest Arctic Borough,146400,131.3,53692,1243,1945,135.7,7523,2707,05000US02188,218899999,02188
AK,"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,171100,131.3,48888,849,1500,135.7,5559,2992,05000US02198,219899999,02198
AK,"Skagway Municipality, AK",Skagway Municipality,305700,131.3,65112,1183,2258,135.7,968,636,05000US02230,223099999,02230
AK,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,201600,131.3,59412,1098,2291,135.7,7029,3915,05000US02240,224099999,02240
AK,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,227900,131.3,69755,961,1967,135.7,9636,6102,05000US02261,226199999,02261
AK,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,90800,131.3,37906,658,1481,135.7,5588,4038,05000US02290,229099999,02290
AZ,"Apache County, AZ",Apache County,77900,95.6,34040,595,1206,100.1,71518,32514,05000US04001,400199999,04001
AZ,"Cochise County, AZ",Cochise County,140700,95.6,45151,679,1501,100.1,131346,59041,05000US04003,400399999,04003
AZ,"Coconino County, AZ",Coconino County,231300,95.6,53643,982,1836,100.1,134421,63321,05000US04005,400599999,04005
AZ,"Gila County, AZ",Gila County,139800,95.6,40747,689,1248,100.1,53597,32698,05000US04007,400799999,04007
AZ,"Graham County, AZ",Graham County,121400,95.6,46714,688,1433,100.1,37220,12980,05000US04009,400999999,04009
AZ,"Greenlee County, AZ",Greenlee County,81600,95.6,61110,547,983,100.1,8437,4372,05000US04011,401199999,04011
AZ,"La Paz County, AZ",La Paz County,71200,95.6,34285,594,1170,100.1,20489,16049,05000US04012,401299999,04012
AZ,"Maricopa County, AZ",Maricopa County,204900,95.6,58742,870,1813,100.1,3817117,1639279,05000US04013,401399999,04013
AZ,"Mohave County, AZ",Mohave County,130000,95.6,42003,659,1331,100.1,200186,110911,05000US04015,401599999,04015
AZ,"Navajo County, AZ",Navajo County,106100,95.6,37440,619,1203,100.1,107449,56938,05000US04017,401799999,04017
AZ,"Pima County, AZ",Pima County,160800,95.6,47644,682,1554,100.1,980263,440909,05000US04019,401999999,04019
AZ,"Pinal County, AZ",Pinal County,142200,95.6,52642,870,1813,100.1,375770,159222,05000US04021,402199999,04021
AZ,"Santa Cruz County, AZ",Santa Cruz County,135200,95.6,39090,571,1035,100.1,47420,18010,05000US04023,402399999,04023
AZ,"Yavapai County, AZ",Yavapai County,199300,95.6,49824,711,1352,100.1,211033,110432,05000US04025,402599999,04025
AZ,"Yuma County, AZ",Yuma County,113400,95.6,42998,650,1524,100.1,195751,87850,05000US04027,402799999,04027
AR,"Arkansas County, AR",Arkansas County,77600,87.8,39726,518,1065,91.7,19019,9436,05000US05001,500199999,05001
AR,"Ashley County, AR",Ashley County,70900,87.8,41277,543,876,91.7,21853,10137,05000US05003,500399999,05003
AR,"Baxter County, AR",Baxter County,123100,87.8,40147,550,996,91.7,41513,22580,05000US05005,500599999,05005
AR,"Benton County, AR",Benton County,155900,87.8,64072,596,1361,91.7,221339,93084,05000US05007,500799999,05007
AR,"Boone County, AR",Boone County,114400,87.8,39881,492,1152,91.7,36903,16827,05000US05009,500999999,05009
AR,"Bradley County, AR",Bradley County,72500,87.8,34114,538,975,91.7,11508,5860,05000US05011,501199999,05011
AR,"Calhoun County, AR",Calhoun County,71800,87.8,33507,583,975,91.7,5368,2897,05000US05013,501399999,05013
AR,"Carroll County, AR",Carroll County,118500,87.8,37145,535,1040,91.7,27446,13559,05000US05015,501599999,05015
AR,"Chicot County, AR",Chicot County,59600,87.8,29527,551,922,91.7,11800,5421,05000US05017,501799999,05017
AR,"Clark County, AR",Clark County,92700,87.8,37247,508,1090,91.7,22995,10385,05000US05019,501999999,05019
AR,"Clay County, AR",Clay County,66700,87.8,36037,476,922,91.7,16083,8031,05000US05021,502199999,05021
AR,"Cleburne County, AR",Cleburne County,126100,87.8,42397,534,1070,91.7,25970,15826,05000US05023,502399999,05023
AR,"Cleveland County, AR",Cleveland County,84000,87.8,45256,568,1138,91.7,8689,4064,05000US05025,502599999,05025
AR,"Columbia County, AR",Columbia County,77100,87.8,35322,551,960,91.7,24552,11596,05000US05027,502799999,05027
AR,"Conway County, AR",Conway County,100300,87.8,41892,574,1104,91.7,21273,9720,05000US05029,502999999,05029
AR,"Craighead County, AR",Craighead County,131700,87.8,44091,630,1076,91.7,96443,40515,05000US05031,503199999,05031
AR,"Crawford County, AR",Crawford County,109500,87.8,42941,545,1169,91.7,61948,26115,05000US05033,503399999,05033
AR,"Crittenden County, AR",Crittenden County,102800,87.8,37627,753,1405,91.7,50902,21489,05000US05035,503599999,05035
AR,"Cross County, AR",Cross County,83900,87.8,40970,544,986,91.7,17870,7853,05000US05037,503799999,05037
AR,"Dallas County, AR",Dallas County,61000,87.8,33679,476,886,91.7,8116,4305,05000US05039,503999999,05039
AR,"Desha County, AR",Desha County,58800,87.8,32392,476,922,91.7,13008,6261,05000US05041,504199999,05041
AR,"Drew County, AR",Drew County,94200,87.8,40441,511,926,91.7,18509,8408,05000US05043,504399999,05043
AR,"Faulkner County, AR",Faulkner County,149900,87.8,50909,719,1370,91.7,113237,46612,05000US05045,504599999,05045
AR,"Franklin County, AR",Franklin County,94000,87.8,40091,493,956,91.7,18125,8021,05000US05047,504799999,05047
AR,"Fulton County, AR",Fulton County,88500,87.8,33451,476,862,91.7,12245,6778,05000US05049,504999999,05049
AR,"Garland County, AR",Garland County,133700,87.8,42087,612,1186,91.7,96024,50548,05000US05051,505199999,05051
AR,"Grant County, AR",Grant County,117800,87.8,54411,643,1192,91.7,17853,7758,05000US05053,505399999,05053
AR,"Greene County, AR",Greene County,105300,87.8,45208,589,1178,91.7,42090,17892,05000US05055,505599999,05055
AR,"Hempstead County, AR",Hempstead County,76300,87.8,38769,521,903,91.7,22609,10419,05000US05057,505799999,05057
AR,"Hot Spring County, AR",Hot Spring County,85600,87.8,46313,586,1103,91.7,32923,14332,05000US05059,505999999,05059
AR,"Howard County, AR",Howard County,90100,87.8,36166,484,938,91.7,13789,6238,05000US05061,506199999,05061
AR,"Independence County, AR",Independence County,99900,87.8,42520,505,951,91.7,36647,16187,05000US05063,506399999,05063
AR,"Izard County, AR",Izard County,77600,87.8,36987,476,862,91.7,13696,7232,05000US05065,506599999,05065
AR,"Jackson County, AR",Jackson County,63600,87.8,35098,492,1009,91.7,17997,7601,05000US05067,506799999,05067
AR,"Jefferson County, AR",Jefferson County,81900,87.8,38485,568,1138,91.7,77435,33006,05000US05069,506999999,05069
AR,"Johnson County, AR",Johnson County,90100,87.8,37205,517,975,91.7,25540,11311,05000US05071,507199999,05071
AR,"Lafayette County, AR",Lafayette County,63300,87.8,32288,511,1034,91.7,7645,4353,05000US05073,507399999,05073
AR,"Lawrence County, AR",Lawrence County,69700,87.8,39015,497,971,91.7,17415,8000,05000US05075,507599999,05075
AR,"Lee County, AR",Lee County,64600,87.8,26912,476,1029,91.7,10424,4356,05000US05077,507799999,05077
AR,"Lincoln County, AR",Lincoln County,65000,87.8,35419,568,1138,91.7,14134,4860,05000US05079,507999999,05079
AR,"Little River County, AR",Little River County,73700,87.8,43567,476,918,91.7,13171,6460,05000US05081,508199999,05081
AR,"Logan County, AR",Logan County,87400,87.8,39361,551,908,91.7,22353,10108,05000US05083,508399999,05083
AR,"Lonoke County, AR",Lonoke County,131700,87.8,56247,719,1370,91.7,68356,27239,05000US05085,508599999,05085
AR,"Madison County, AR",Madison County,100100,87.8,39059,596,1361,91.7,15717,7481,05000US05087,508799999,05087
AR,"Marion County, AR",Marion County,109700,87.8,33950,504,1115,91.7,16653,9354,05000US05089,508999999,05089
AR,"Miller County, AR",Miller County,99600,87.8,38412,665,1249,91.7,43462,19281,05000US05091,509199999,05091
AR,"Mississippi County, AR",Mississippi County,80700,87.8,35846,516,934,91.7,46480,20459,05000US05093,509399999,05093
AR,"Monroe County, AR",Monroe County,56400,87.8,32906,504,1134,91.7,8149,4455,05000US05095,509599999,05095
AR,"Montgomery County, AR",Montgomery County,88200,87.8,36435,489,948,91.7,9487,5763,05000US05097,509799999,05097
AR,"Nevada County, AR",Nevada County,65300,87.8,37612,506,917,91.7,8997,4563,05000US05099,509999999,05099
AR,"Newton County, AR",Newton County,84800,87.8,33107,481,922,91.7,8330,4664,05000US05101,510199999,05101
AR,"Ouachita County, AR",Ouachita County,66900,87.8,36016,524,980,91.7,26120,13121,05000US05103,510399999,05103
AR,"Perry County, AR",Perry County,84500,87.8,43819,719,1370,91.7,10445,4907,05000US05105,510599999,05105
AR,"Phillips County, AR",Phillips County,62900,87.8,29073,482,1129,91.7,21757,10126,05000US05107,510799999,05107
AR,"Pike County, AR",Pike County,77300,87.8,34821,551,917,91.7,11291,5580,05000US05109,510999999,05109
AR,"Poinsett County, AR",Poinsett County,77900,87.8,36125,476,862,91.7,24583,10923,05000US05111,511199999,05111
AR,"Polk County, AR",Polk County,83900,87.8,32941,476,1028,91.7,20662,10002,05000US05113,511399999,05113
AR,"Pope County, AR",Pope County,120900,87.8,42916,518,1112,91.7,61754,25551,05000US05115,511599999,05115
AR,"Prairie County, AR",Prairie County,67100,87.8,40340,476,922,91.7,8715,4503,05000US05117,511799999,05117
AR,"Pulaski County, AR",Pulaski County,144000,87.8,47966,719,1370,91.7,382748,175555,05000US05119,511999999,05119
AR,"Randolph County, AR",Randolph County,79000,87.8,38647,478,926,91.7,17969,8513,05000US05121,512199999,05121
AR,"St. Francis County, AR",St. Francis County,62700,87.8,39675,476,1115,91.7,28258,10903,05000US05123,512399999,05123
AR,"Saline County, AR",Saline County,143900,87.8,63618,719,1370,91.7,107118,44811,05000US05125,512599999,05125
AR,"Scott County, AR",Scott County,77700,87.8,34245,476,922,91.7,11233,5193,05000US05127,512799999,05127
AR,"Searcy County, AR",Searcy County,82800,87.8,29747,508,922,91.7,8195,4900,05000US05129,512999999,05129
AR,"Sebastian County, AR",Sebastian County,114800,87.8,42559,545,1169,91.7,125744,54651,05000US05131,513199999,05131
AR,"Sevier County, AR",Sevier County,70400,87.8,38697,478,926,91.7,17058,6887,05000US05133,513399999,05133
AR,"Sharp County, AR",Sharp County,76700,87.8,32379,477,938,91.7,17264,9822,05000US05135,513599999,05135
AR,"Stone County, AR",Stone County,104800,87.8,31955,494,895,91.7,12394,6712,05000US05137,513799999,05137
AR,"Union County, AR",Union County,77800,87.8,41546,605,1173,91.7,41639,19653,05000US05139,513999999,05139
AR,"Van Buren County, AR",Van Buren County,92000,87.8,38166,483,895,91.7,17295,10345,05000US05141,514199999,05141
AR,"Washington County, AR",Washington County,157400,87.8,46367,596,1361,91.7,203065,87808,05000US05143,514399999,05143
AR,"White County, AR",White County,113500,87.8,44329,530,1210,91.7,77076,32488,05000US05145,514599999,05145
AR,"Woodruff County, AR",Woodruff County,62700,87.8,30400,476,862,91.7,7260,3893,05000US05147,514799999,05147
AR,"Yell County, AR",Yell County,100100,87.8,38658,504,1015,91.7,22185,9752,05000US05149,514999999,05149
CA,"Alameda County, CA",Alameda County,593500,141,89472,2000,4254,117.4,1510271,582549,05000US06001,600199999,06001
CA,"Alpine County, CA",Alpine County,329500,141,57481,764,1637,117.4,1175,1760,05000US06003,600399999,06003
CA,"Amador County, CA",Amador County,265900,141,59789,829,1762,117.4,38091,18032,05000US06005,600599999,06005
CA,"Butte County, CA",Butte County,228500,141,45097,834,1796,117.4,220000,95835,05000US06007,600799999,06007
CA,"Calaveras County, CA",Calaveras County,259000,141,57990,822,1712,117.4,45578,27925,05000US06009,600999999,06009
CA,"Colusa County, CA",Colusa County,205000,141,54861,780,1509,117.4,21419,7883,05000US06011,601199999,06011
CA,"Contra Costa County, CA",Contra Costa County,472900,141,90920,2000,4254,117.4,1049025,400263,05000US06013,601399999,06013
CA,"Del Norte County, CA",Del Norte County,183600,141,39458,759,1530,117.4,28610,11186,05000US06015,601599999,06015
CA,"El Dorado County, CA",El Dorado County,379200,141,75100,916,2038,117.4,181058,88159,05000US06017,601799999,06017
CA,"Fresno County, CA",Fresno County,204900,141,48323,819,1699,117.4,930450,315531,05000US06019,601999999,06019
CA,"Glenn County, CA",Glenn County,215800,141,46141,655,1186,117.4,28122,10778,05000US06021,602199999,06021
CA,"Humboldt County, CA",Humboldt County,279000,141,43164,780,1712,117.4,134623,61559,05000US06023,602399999,06023
CA,"Imperial County, CA",Imperial County,159000,141,43327,723,1645,117.4,174528,56067,05000US06025,602599999,06025
CA,"Inyo County, CA",Inyo County,235500,141,53350,805,1392,117.4,18546,9478,05000US06027,602799999,06027
CA,"Kern County, CA",Kern County,175600,141,49812,744,1659,117.4,839631,284367,05000US06029,602999999,06029
CA,"Kings County, CA",Kings County,172000,141,51320,810,1610,117.4,152982,43867,05000US06031,603199999,06031
CA,"Lake County, CA",Lake County,167300,141,40818,762,1594,117.4,64665,35492,05000US06033,603399999,06033
CA,"Lassen County, CA",Lassen County,174500,141,49793,699,1503,117.4,34895,12710,05000US06035,603599999,06035
CA,"Los Angeles County, CA",Los Angeles County,465000,141,61308,1388,2667,117.4,9818605,3445076,05000US06037,603799999,06037
CA,"Madera County, CA",Madera County,204800,141,49467,768,1643,117.4,150865,49140,05000US06039,603999999,06039
CA,"Marin County, CA",Marin County,859400,141,103488,2704,4692,117.4,252409,111214,05000US06041,604199999,06041
CA,"Mariposa County, CA",Mariposa County,250800,141,51233,777,1686,117.4,18251,10188,05000US06043,604399999,06043
CA,"Mendocino County, CA",Mendocino County,319100,141,45247,826,1757,117.4,87841,40323,05000US06045,604599999,06045
CA,"Merced County, CA",Merced County,171800,141,47442,660,1449,117.4,255793,83698,05000US06047,604799999,06047
CA,"Modoc County, CA",Modoc County,144600,141,42890,533,1127,117.4,9686,5192,05000US06049,604999999,06049
CA,"Mono County, CA",Mono County,286100,141,56574,988,2125,117.4,14202,13912,05000US06051,605199999,06051
CA,"Monterey County, CA",Monterey County,393300,141,62999,1227,2371,117.4,415057,139048,05000US06053,605399999,06053
CA,"Napa County, CA",Napa County,503100,141,73112,1303,2760,117.4,136484,54759,05000US06055,605599999,06055
CA,"Nevada County, CA",Nevada County,355900,141,60501,977,2273,117.4,98764,52590,05000US06057,605799999,06057
CA,"Orange County, CA",Orange County,584200,141,81642,1610,3285,117.4,3010232,1048907,05000US06059,605999999,06059
CA,"Placer County, CA",Placer County,380900,141,85326,916,2038,117.4,348432,152648,05000US06061,606199999,06061
CA,"Plumas County, CA",Plumas County,221300,141,53646,798,1413,117.4,20007,15566,05000US06063,606399999,06063
CA,"Riverside County, CA",Riverside County,276300,141,59951,1003,2172,117.4,2189641,800707,05000US06065,606599999,06065
CA,"Sacramento County, CA",Sacramento County,271300,141,59728,916,2038,117.4,1418788,555932,05000US06067,606799999,06067
CA,"San Benito County, CA",San Benito County,423100,141,73298,1389,3253,117.4,55269,17870,05000US06069,606999999,06069
CA,"San Bernardino County, CA",San Bernardino County,256000,141,56194,1003,2172,117.4,2035210,699637,05000US06071,607199999,06071
CA,"San Diego County, CA",San Diego County,454600,141,70693,1400,3198,117.4,3095313,1164786,05000US06073,607399999,06073
CA,"San Joaquin County, CA",San Joaquin County,246900,141,59038,790,1846,117.4,685306,233755,05000US06077,607799999,06077
CA,"San Luis Obispo County, CA",San Luis Obispo County,471800,141,69517,1176,2670,117.4,269637,117315,05000US06079,607999999,06079
CA,"San Mateo County, CA",San Mateo County,845300,141,107075,2704,4692,117.4,718451,271031,05000US06081,608199999,06081
CA,"Santa Barbara County, CA",Santa Barbara County,480000,141,66360,1725,3195,117.4,423895,152834,05000US06083,608399999,06083
CA,"Santa Clara County, CA",Santa Clara County,752400,141,110843,2217,4303,117.4,1781642,631920,05000US06085,608599999,06085
CA,"Santa Cruz County, CA",Santa Cruz County,615200,141,75929,1589,3184,117.4,262382,104476,05000US06087,608799999,06087
CA,"Shasta County, CA",Shasta County,223500,141,46663,759,1715,117.4,177223,77313,05000US06089,608999999,06089
CA,"Sierra County, CA",Sierra County,170300,141,48099,957,2051,117.4,3240,2328,05000US06091,609199999,06091
CA,"Siskiyou County, CA",Siskiyou County,173100,141,40875,666,1460,117.4,44900,23910,05000US06093,609399999,06093
CA,"Solano County, CA",Solano County,305900,141,73200,1145,2486,117.4,413344,152698,05000US06095,609599999,06095
CA,"Sonoma County, CA",Sonoma County,464700,141,73496,1511,3454,117.4,483878,204572,05000US06097,609799999,06097
CA,"Stanislaus County, CA",Stanislaus County,216000,141,54060,855,1873,117.4,514453,179503,05000US06099,609999999,06099
CA,"Sutter County, CA",Sutter County,213100,141,51283,720,1659,117.4,94737,33858,05000US06101,610199999,06101
CA,"Tehama County, CA",Tehama County,178600,141,40585,646,1172,117.4,63463,26987,05000US06103,610399999,06103
CA,"Trinity County, CA",Trinity County,270100,141,38727,695,1627,117.4,13786,8681,05000US06105,610599999,06105
CA,"Tulare County, CA",Tulare County,169600,141,45768,678,1495,117.4,442179,141696,05000US06107,610799999,06107
CA,"Tuolumne County, CA",Tuolumne County,259800,141,50431,795,1594,117.4,55365,31244,05000US06109,610999999,06109
CA,"Ventura County, CA",Ventura County,481400,141,79470,1399,3144,117.4,823318,281695,05000US06111,611199999,06111
CA,"Yolo County, CA",Yolo County,346200,141,63645,978,2291,117.4,200849,75054,05000US06113,611399999,06113
CA,"Yuba County, CA",Yuba County,190700,141,46054,720,1659,117.4,72155,27635,05000US06115,611599999,06115
CO,"Adams County, CO",Adams County,216700,102.3,65442,1226,2558,98.5,441603,163136,05000US08001,800199999,08001
CO,"Alamosa County, CO",Alamosa County,141600,102.3,37057,670,1244,98.5,15445,6554,05000US08003,800399999,08003
CO,"Arapahoe County, CO",Arapahoe County,266600,102.3,70866,1226,2558,98.5,572003,238301,05000US08005,800599999,08005
